record identifiers;persistent identifier;identification labels;digital images/downloads (files);digital images/archival description;microfiche/downloads (files);microfiche/archival description;
http://www.bildindex.de/document/obj20666124;http://id.bildindex.de/thing/0001618283;Lauenhain (Kreis Hainichen)___ Fahnentr?ger eines internationalen Zeltlagers;[];[];"[""http://www.bildindex.de/bilder/d/mi12308g07""]";"[""https://www.bildindex.de/media/obj20666124/mi12308g07""]";
http://www.bildindex.de/document/obj20727600;http://id.bildindex.de/thing/0001677732;Fenster (Bauelement);"[""http://www.bildindex.de/bilder/d/fm140030""]";"[""https://www.bildindex.de/media/obj20727600/fm140030""]";"[""http://www.bildindex.de/bilder/d/mi02117a05"" ""http://www.bildindex.de/bilder/d/mi02117a06""]";"[""https://www.bildindex.de/media/obj20727600/mi02117a05"" ""https://www.bildindex.de/media/obj20727600/mi02117a06""]";
http://www.bildindex.de/document/obj20943303;http://id.bildindex.de/thing/0001803584;Kassel___ Infanteriekasernen an der K?nigsstra?e___ Bestandsaufnahme___ Situationsplan;"[""http://www.bildindex.de/bilder/d/STMP_II_11087_r"" ""http://www.bildindex.de/bilder/d/STMP_II_11087_v""]";"[""https://www.bildindex.de/media/obj20943303/STMP_II_11087_r"" ""https://www.bildindex.de/media/obj20943303/STMP_II_11087_v""]";[];[];
http://www.bildindex.de/document/obj20948462;http://id.bildindex.de/thing/0001806337;Waldeck___ Dom?ne___ Wohnhaus___ Umbauentwurf___ Aufrisse;"[""http://www.bildindex.de/bilder/d/STMP_II_15666_011_r"" ""http://www.bildindex.de/bilder/d/STMP_II_15666_011_v""]";"[""https://www.bildindex.de/media/obj20948462/STMP_II_15666_011_r"" ""https://www.bildindex.de/media/obj20948462/STMP_II_15666_011_v""]";[];[];
http://www.bildindex.de/document/obj20943569;http://id.bildindex.de/thing/0001803733;Kassel___ Opernhaus (Altes Hoftheater)___ Aborte im Fl?gelgeb?ude___ Entwurf___ Grundriss;"[""http://www.bildindex.de/bilder/d/STMP_II_13833_001_r"" ""http://www.bildindex.de/bilder/d/STMP_II_13833_002_r"" ""http://www.bildindex.de/bilder/d/STMP_II_13833_001_V1"" ""http://www.bildindex.de/bilder/d/STMP_II_13833_002_V1"" ""http://www.bildindex.de/bilder/d/STMP_II_13833_001_v""]";"[""https://www.bildindex.de/media/obj20943569/STMP_II_13833_001_r"" ""https://www.bildindex.de/media/obj20943569/STMP_II_13833_002_r"" ""https://www.bildindex.de/media/obj20943569/STMP_II_13833_001_V1"" ""https://www.bildindex.de/media/obj20943569/STMP_II_13833_002_V1"" ""https://www.bildindex.de/media/obj20943569/STMP_II_13833_001_v""]";[];[];
http://www.bildindex.de/document/obj20104670;http://id.bildindex.de/thing/0001252381;Mengsberg___ Oberf?rster-Etablissement___ Bauaufnahmen___ Grundrisse___ Aufrisse___ Querschnitte___ L?ngsschnitte und Lageplan;"[""http://www.bildindex.de/bilder/d/STMP_II_12646_001_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12646_001_v"" ""http://www.bildindex.de/bilder/d/STMP_II_12646_002_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12646_002_v"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_001_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_001_v"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_002_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_002_v"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_003_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_003_v"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_004_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_004_v"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_005_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_005_v"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_006_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_006_v"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_007_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_007_v"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_008_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_008_v"" ""http://www.bildindex.de/bilder/d/STMP_II_12648_001_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12648_001_v"" ""http://www.bildindex.de/bilder/d/STMP_II_12648_002_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12648_002_v"" ""http://www.bildindex.de/bilder/d/STMP_II_12648_003_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12648_003_v""]";"[""https://www.bildindex.de/media/obj20104670/STMP_II_12646_001_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12646_001_v"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12646_002_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12646_002_v"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_001_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_001_v"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_002_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_002_v"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_003_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_003_v"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_004_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_004_v"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_005_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_005_v"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_006_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_006_v"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_007_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_007_v"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_008_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_008_v"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12648_001_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12648_001_v"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12648_002_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12648_002_v"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12648_003_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12648_003_v""]";[];[];
http://www.bildindex.de/document/obj20104670;http://id.bildindex.de/thing/0001252368;Mengsberg___ Oberf?rster-Etablissement___ Bauaufnahmen___ Grundrisse___ Aufrisse___ Querschnitte___ L?ngsschnitte und Lageplan Mengsberg___ Oberf?rster-Etablissement___ Bauaufnahmen___ Grundrisse___ Aufrisse___ Querschnitte___ L?ngsschnitte und Lageplan/Mengsberg___ Oberf?rster-Etablissement___ F?rsterwohnung___ Bauaufnahme___ Grundrisse;"[""http://www.bildindex.de/bilder/d/STMP_II_12646_001_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12646_001_v""]";"[""https://www.bildindex.de/media/obj20104670/STMP_II_12646_001_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12646_001_v""]";[];[];
http://www.bildindex.de/document/obj20104670;http://id.bildindex.de/thing/0001252369;Mengsberg___ Oberf?rster-Etablissement___ Bauaufnahmen___ Grundrisse___ Aufrisse___ Querschnitte___ L?ngsschnitte und Lageplan Mengsberg___ Oberf?rster-Etablissement___ Bauaufnahmen___ Grundrisse___ Aufrisse___ Querschnitte___ L?ngsschnitte und Lageplan/Mengsberg___ Oberf?rster-Etablissement___ F?rsterwohnung___ Bauaufnahme___ Grundriss und Aufriss;"[""http://www.bildindex.de/bilder/d/STMP_II_12646_002_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12646_002_v""]";"[""https://www.bildindex.de/media/obj20104670/STMP_II_12646_002_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12646_002_v""]";[];[];
http://www.bildindex.de/document/obj20104670;http://id.bildindex.de/thing/0001252370;Mengsberg___ Oberf?rster-Etablissement___ Bauaufnahmen___ Grundrisse___ Aufrisse___ Querschnitte___ L?ngsschnitte und Lageplan Mengsberg___ Oberf?rster-Etablissement___ Bauaufnahmen___ Grundrisse___ Aufrisse___ Querschnitte___ L?ngsschnitte und Lageplan/Mengsberg___ Oberf?rster-Etablissement___ F?rsterwohnung___ Bauaufnahme___ Aufriss und Grundriss;"[""http://www.bildindex.de/bilder/d/STMP_II_12647_001_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_001_v""]";"[""https://www.bildindex.de/media/obj20104670/STMP_II_12647_001_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_001_v""]";[];[];
http://www.bildindex.de/document/obj20104670;http://id.bildindex.de/thing/0001252371;Mengsberg___ Oberf?rster-Etablissement___ Bauaufnahmen___ Grundrisse___ Aufrisse___ Querschnitte___ L?ngsschnitte und Lageplan Mengsberg___ Oberf?rster-Etablissement___ Bauaufnahmen___ Grundrisse___ Aufrisse___ Querschnitte___ L?ngsschnitte und Lageplan/Mengsberg___ Oberf?rster-Etablissement___ F?rsterwohnung___ Bauaufnahme___ Aufriss und Grundriss;"[""http://www.bildindex.de/bilder/d/STMP_II_12647_002_r"" ""http://www.bildindex.de/bilder/d/STMP_II_12647_002_v""]";"[""https://www.bildindex.de/media/obj20104670/STMP_II_12647_002_r"" ""https://www.bildindex.de/media/obj20104670/STMP_II_12647_002_v""]";[];[];
