id_record;Gattung;Standort;Datierung
http://www.bildindex.de/document/obj20666124;Fotografie (Objektgattung);;1950
http://www.bildindex.de/document/obj20727600;Angewandte Kunst;Ronhausen, Bauernhaus, 14;1701/1800
http://www.bildindex.de/document/obj20943303;Zeichenkunst, Architekturzeichnung;;1851/1861, Quelle: Wasserzeichen
http://www.bildindex.de/document/obj20948462;Zeichenkunst, Architekturzeichnung;;
http://www.bildindex.de/document/obj20943569;Zeichenkunst, Architekturzeichnung;;1800/1820, Quelle: Archivangabe
http://www.bildindex.de/document/obj20104670;Zeichenkunst;;1876
http://www.bildindex.de/document/obj20970089;Druckgraphik;;1909
http://www.bildindex.de/document/obj20726402;Skulptur;;1940
http://www.bildindex.de/document/obj20726668;Angewandte Kunst;;1801/1815
http://www.bildindex.de/document/obj20704832;Malerei;;
http://www.bildindex.de/document/obj20944502;Zeichenkunst, Architekturzeichnung;;1842.09.30, Quelle: Signatur
http://www.bildindex.de/document/obj20705196;Keramik (Objektgattung);;vor 1950
http://www.bildindex.de/document/obj20729163;Zeichenkunst;;1946
http://www.bildindex.de/document/obj20726401;Skulptur;;1927
http://www.bildindex.de/document/obj20947263;Zeichenkunst, Architekturzeichnung;;1847/1857, Quelle: zugehöriges Blatt
http://www.bildindex.de/document/obj20942105;Zeichenkunst, Architekturzeichnung;;1840/1841
http://www.bildindex.de/document/obj20366177;Keramik (Objektgattung), Fayence;;um 1750/1753
http://www.bildindex.de/document/obj20104671;Zeichenkunst;;1882
http://www.bildindex.de/document/obj20061903;Fotografie (Objektgattung);;2001
http://www.bildindex.de/document/obj20727601;Angewandte Kunst;;1786/1815
http://www.bildindex.de/document/obj20727867;Fotografie (Objektgattung);;1876/1900
http://www.bildindex.de/document/obj20943302;Zeichenkunst, Architekturzeichnung;;
http://www.bildindex.de/document/obj20666125;Fotografie (Objektgattung);;1950
http://www.bildindex.de/document/obj20948463;Zeichenkunst, Architekturzeichnung;;
http://www.bildindex.de/document/obj20943568;Zeichenkunst, Architekturzeichnung;;1764, Quelle: Aufschrift
http://www.bildindex.de/document/obj20226229;Architektur;Marburg, Uferstraße 10b;um 1965/1970?
