id;label
0;Lauenhain (Kreis Hainichen), Fahnenträger eines internationalen Zeltlagers
1;Fenster (Bauelement)
2;Kassel, Infanteriekasernen an der Königsstraße, Bestandsaufnahme, Situationsplan
3;Waldeck, Domäne, Wohnhaus, Umbauentwurf, Aufrisse
4;Kassel, Opernhaus (Altes Hoftheater), Aborte im Flügelgebäude, Entwurf, Grundriss
5;Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan
6;Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan/Mengsberg, Oberförster-Etablissement, Försterwohnung, Bauaufnahme, Grundrisse
7;Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan/Mengsberg, Oberförster-Etablissement, Försterwohnung, Bauaufnahme, Grundriss und Aufriss
8;Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan/Mengsberg, Oberförster-Etablissement, Försterwohnung, Bauaufnahme, Aufriss und Grundriss
9;Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan/Mengsberg, Oberförster-Etablissement, Försterwohnung, Bauaufnahme, Aufriss, Querschnitt und Längsschnitt
10;Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan/Mengsberg, Oberförster-Etablissement, Försterwohnung, Bauaufnahme, Grundrisse und Lageplan
11;Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan Mengsberg, Oberförster-Etablissement, Bauaufnahmen, Grundrisse, Aufrisse, Querschnitte, Längsschnitte und Lageplan/Mengsberg, Oberförster-Etablissement, Scheune und Stall, Bauaufnahme, Aufriss und Grundriss
12;Schafherde in der Eifel
13;Der Abschied
14;Kanne
15;Ortschaft an einem Gebirgssee
16;Mainz, Festung (Details der Rheinschanzen), Bestandsaufnahme, Grundriss und Schnitte, Kopie nach Sontheim
17;Schüssel
18;Herbergsschild 1685, Ziegenhain
19;Bildnis des Großkaufmanns Friedrich Wilhelm Birtner
20;Entwurf für ein öffentliches Gebäude, Akademische Prüfungsaufgabe, Aufriss
21;Hanau, Bangertgarten mit Einzeichnung der Platzgestaltung für die Katholische Kirche, Bestandsaufnahme und Entwurf, Situationsplan
22;Bildplatte
23;Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Bauaufnahmen, Grundrisse, Querschnitte, Längsschnitte, Aufrisse und Lageplan
24;Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Bauaufnahmen, Grundrisse, Querschnitte, Längsschnitte, Aufrisse und Lageplan Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Bauaufnahmen, Grundrisse, Querschnitte, Längsschnitte, Aufrisse und Lageplan/Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Wohnhaus, Bauaufnahme, Grundrisse
